1984,1848,1983;1984,1848,1863;1984,1983,1863;1863,1848,1983
1984,1848,1849;1984,1848,1969;1984,1849,1969;1969,1848,1849
1984,1849,1848;1984,1849,1864;1984,1848,1864;1864,1849,1848
1984,1968,1848;1984,1968,1969;1984,1848,1969;1969,1968,1848
1984,1878,1998;1984,1878,1999;1984,1998,1999;1999,1878,1998
1984,1879,1878;1984,1879,1999;1984,1878,1999;1999,1879,1878
1984,1879,1864;1984,1879,1878;1984,1864,1878;1878,1879,1864
1984,1863,1998;1984,1863,1878;1984,1998,1878;1878,1863,1998
1984,1864,1863;1984,1864,1878;1984,1863,1878;1878,1864,1863
1984,1863,1983;1984,1863,1998;1984,1983,1998;1998,1863,1983
1984,1879,1880;1984,1879,1864;1984,1880,1864;1864,1879,1880
1984,2000,1880;1984,2000,1999;1984,1880,1999;1999,2000,1880
1984,1865,1880;1984,1865,1985;1984,1880,1985;1985,1865,1880
1984,1880,1879;1984,1880,1999;1984,1879,1999;1999,1880,1879
1984,1880,1865;1984,1880,1864;1984,1865,1864;1864,1880,1865
1984,1880,2000;1984,1880,1985;1984,2000,1985;1985,1880,2000
575,694,589;575,694,574;575,589,574;574,694,589
575,709,590;575,709,589;575,590,589;589,709,590
575,709,589;575,709,694;575,589,694;694,709,589
575,710,709;575,710,694;575,709,694;694,710,709
575,710,590;575,710,709;575,590,709;709,710,590
575,695,710;575,695,694;575,710,694;694,695,710
575,590,470;575,590,589;575,470,589;589,590,470
575,589,454;575,589,574;575,454,574;574,589,454
575,469,454;575,469,589;575,454,589;589,469,454
575,455,454;575,455,470;575,454,470;470,455,454
575,470,469;575,470,589;575,469,589;589,470,469
575,454,469;575,454,470;575,469,470;470,454,469
575,456,591;575,456,576;575,591,576;576,456,591
575,590,591;575,590,470;575,591,470;470,590,591
575,456,455;575,456,470;575,455,470;470,456,455
575,471,456;575,471,470;575,456,470;470,471,456
575,591,471;575,591,470;575,471,470;470,591,471
575,471,591;575,471,456;575,591,456;456,471,591
575,561,560;575,561,441;575,560,441;441,561,560
575,576,561;575,576,441;575,561,441;441,576,561
575,456,576;575,456,441;575,576,441;441,456,576
575,455,456;575,455,441;575,456,441;441,455,456
575,560,440;575,560,441;575,440,441;441,560,440
575,440,455;575,440,441;575,455,441;441,440,455
696,560,561;696,560,680;696,561,680;680,560,561
696,561,681;696,561,680;696,681,680;680,561,681
696,560,576;696,560,561;696,576,561;561,560,576
696,695,560;696,695,680;696,560,680;680,695,560
696,695,575;696,695,560;696,575,560;560,695,575
696,560,575;696,560,576;696,575,576;576,560,575
696,590,710;696,590,711;696,710,711;711,590,710
696,590,591;696,590,576;696,591,576;576,590,591
696,591,590;696,591,711;696,590,711;711,591,590
696,695,710;696,695,590;696,710,590;590,695,710
696,575,590;696,575,576;696,590,576;576,575,590
696,575,695;696,575,590;696,695,590;590,575,695
696,591,711;696,591,592;696,711,592;592,591,711
696,576,591;696,576,592;696,591,592;592,576,591
696,577,576;696,577,592;696,576,592;592,577,576
696,697,577;696,697,592;696,577,592;592,697,577
696,711,712;696,711,592;696,712,592;592,711,712
696,712,697;696,712,592;696,697,592;592,712,697
696,711,710;696,711,830;696,710,830;830,711,710
696,831,711;696,831,830;696,711,830;830,831,711
696,830,710;696,830,815;696,710,815;815,830,710
696,831,830;696,831,815;696,830,815;815,831,830
696,816,831;696,816,815;696,831,815;815,816,831
696,710,695;696,710,815;696,695,815;815,710,695
696,681,801;696,681,680;696,801,680;680,681,801
696,801,800;696,801,680;696,800,680;680,801,800
696,801,816;696,801,815;696,816,815;815,801,816
696,695,680;696,695,815;696,680,815;815,695,680
696,680,800;696,680,815;696,800,815;815,680,800
696,800,801;696,800,815;696,801,815;815,800,801
826,840,960;826,840,961;826,960,961;961,840,960
826,960,946;826,960,961;826,946,961;961,960,946
826,945,946;826,945,960;826,946,960;960,945,946
826,945,960;826,945,840;826,960,840;840,945,960
826,841,840;826,841,961;826,840,961;961,841,840
826,825,945;826,825,840;826,945,840;840,825,945
