1225,938,886;943,1225,886;943,886,938;938,1225,943
881,1387,886;885,881,886;885,886,1387;1387,881,885
938,1387,886;882,938,886;882,886,1387;1387,938,882
1387,881,886;882,1387,886;882,886,881;881,1387,882
1214,1374,1226;1225,1214,1226;1225,1226,1374;1374,1214,1225
942,886,1226;885,942,1226;885,1226,886;886,942,885
886,942,1226;1225,886,1226;1225,1226,942;942,886,1225
1374,1387,1226;1225,1374,1226;1225,1226,1387;1387,1374,1225
886,1387,1226;885,886,1226;885,1226,1387;1387,886,885
1387,886,1226;1225,1387,1226;1225,1226,886;886,1387,1225
1387,1388,1226;885,1387,1226;885,1226,1388;1388,1387,885
1388,1387,1226;1374,1388,1226;1374,1226,1387;1387,1388,1374
1387,938,1235;882,1387,1235;882,1235,938;938,1387,882
1387,1373,1235;1225,1387,1235;1225,1235,1373;1373,1387,1225
938,1387,1235;1225,938,1235;1225,1235,1387;1387,938,1225
1387,1374,1386;1373,1387,1386;1373,1386,1374;1374,1387,1373
1388,1387,1386;1399,1388,1386;1399,1386,1387;1387,1388,1399
1387,1388,1386;1374,1387,1386;1374,1386,1388;1388,1387,1374
1235,1387,1386;1373,1235,1386;1373,1386,1387;1387,1235,1373
1386,1399,1582;1583,1386,1582;1583,1582,1399;1399,1386,1583
1397,1386,1582;1568,1397,1582;1568,1582,1386;1386,1397,1568
1731,1730,1714;1963,1731,1714;1963,1714,1730;1730,1731,1963
938,1225,1121;943,938,1121;943,1121,1225;1225,938,943
938,1235,1121;1225,938,1121;1225,1121,1235;1235,938,1225
1235,1373,1121;1225,1235,1121;1225,1121,1373;1373,1235,1225
1043,1046,1050;1044,1043,1050;1044,1050,1046;1046,1043,1044
1046,1048,1050;1044,1046,1050;1044,1050,1048;1048,1046,1044
984,983,1123;990,984,1123;990,1123,983;983,984,990
983,984,1123;935,983,1123;935,1123,984;984,983,935
984,1238,1123;935,984,1123;935,1123,1238;1238,984,935
664,717,718;1829,664,718;1829,718,717;717,664,1829
607,664,665;2070,607,665;2070,665,664;664,607,2070
607,2069,665;666,607,665;666,665,2069;2069,607,666
2069,607,665;2070,2069,665;2070,665,607;607,2069,2070
2070,664,665;1829,2070,665;1829,665,664;664,2070,1829
664,718,665;1829,664,665;1829,665,718;718,664,1829
664,2070,606;611,664,606;611,606,2070;2070,664,611
664,607,606;2070,664,606;2070,606,607;607,664,2070
4157,141,4144;4158,4157,4144;4158,4144,141;141,4157,4158
141,143,4144;4158,141,4144;4158,4144,143;143,141,4158
480,2888,537;481,480,537;481,537,2888;2888,480,481
562,2578,2568;2847,562,2568;2847,2568,2578;2578,562,2847
744,794,1740;742,744,1740;742,1740,794;794,744,742
2200,1955,1740;744,2200,1740;744,1740,1955;1955,2200,744
794,796,1740;1528,794,1740;1528,1740,796;796,794,1528
796,1723,1740;1528,796,1740;1528,1740,1723;1723,796,1528
565,2825,2569;568,565,2569;568,2569,2825;2825,565,568
1812,2049,2034;2036,1812,2034;2036,2034,2049;2049,1812,2036
675,2316,2307;624,675,2307;624,2307,2316;2316,675,624
2568,2316,2307;2306,2568,2307;2306,2307,2316;2316,2568,2306
2316,2568,2307;624,2316,2307;624,2307,2568;2568,2316,624
2568,2569,2307;624,2568,2307;624,2307,2569;2569,2568,624
2555,2568,2307;2306,2555,2307;2306,2307,2568;2568,2555,2306
2569,2568,2307;2555,2569,2307;2555,2307,2568;2568,2569,2555
2316,675,621;624,2316,621;624,621,675;675,2316,624
