112,139,111;112,139,132;112,111,132;132,139,111
112,105,133;112,105,132;112,133,132;132,105,133
112,111,104;112,111,132;112,104,132;132,111,104
112,104,105;112,104,132;112,105,132;132,104,105
112,132,133;112,132,140;112,133,140;140,132,133
112,141,106;112,141,113;112,106,113;113,141,106
112,134,133;112,134,106;112,133,106;106,134,133
112,133,141;112,133,140;112,141,140;140,133,141
112,106,133;112,106,105;112,133,105;105,106,133
112,134,106;112,134,141;112,106,141;141,134,106
112,133,134;112,133,141;112,134,141;141,133,134
117,144,116;117,144,1;117,116,1;1,144,116
117,145,144;117,145,1;117,144,1;1,145,144
88,115,87;88,115,1;88,87,1;1,115,87
88,116,115;88,116,1;88,115,1;1,116,115
88,117,116;88,117,1;88,116,1;1,117,116
88,89,117;88,89,1;88,117,1;1,89,117
143,144,116;143,144,151;143,116,151;151,144,116
143,116,115;143,116,122;143,115,122;122,116,115
143,151,123;143,151,122;143,123,122;122,151,123
143,116,123;143,116,151;143,123,151;151,116,123
143,123,116;143,123,122;143,116,122;122,123,116
143,150,151;143,150,122;143,151,122;122,150,151
143,116,144;143,116,1;143,144,1;1,116,144
143,115,116;143,115,1;143,116,1;1,115,116
157,165,193;157,165,186;157,193,186;186,165,193
157,193,185;157,193,186;157,185,186;186,193,185
157,158,165;157,158,186;157,165,186;186,158,165
157,192,185;157,192,193;157,185,193;193,192,185
157,165,192;157,165,193;157,192,193;193,165,192
157,164,192;157,164,165;157,192,165;165,164,192
157,156,191;157,156,163;157,191,163;163,156,191
157,184,185;157,184,191;157,185,191;191,184,185
157,156,184;157,156,191;157,184,191;191,156,184
157,191,192;157,191,163;157,192,163;163,191,192
157,185,192;157,185,191;157,192,191;191,185,192
157,192,164;157,192,163;157,164,163;163,192,164
157,130,129;157,130,136;157,129,136;136,130,129
157,158,130;157,158,165;157,130,165;165,158,130
157,165,137;157,165,136;157,137,136;136,165,137
157,137,130;157,137,136;157,130,136;136,137,130
157,130,137;157,130,165;157,137,165;165,130,137
157,164,165;157,164,136;157,165,136;136,164,165
157,130,158;157,130,151;157,158,151;151,130,158
157,129,130;157,129,122;157,130,122;122,129,130
157,123,130;157,123,151;157,130,151;151,123,130
157,123,151;157,123,122;157,151,122;122,123,151
157,130,123;157,130,122;157,123,122;122,130,123
157,151,150;157,151,122;157,150,122;122,151,150
157,136,135;157,136,163;157,135,163;163,136,135
157,128,135;157,128,136;157,135,136;136,128,135
157,135,128;157,135,163;157,128,163;163,135,128
157,129,128;157,129,136;157,128,136;136,129,128
157,128,156;157,128,163;157,156,163;163,128,156
157,164,136;157,164,163;157,136,163;163,164,136
157,128,129;157,128,122;157,129,122;122,128,129
157,149,156;157,149,128;157,156,128;128,149,156
157,121,128;157,121,122;157,128,122;122,121,128
157,149,121;157,149,122;157,121,122;122,149,121
157,121,149;157,121,128;157,149,128;128,121,149
157,150,149;157,150,122;157,149,122;122,150,149
217,196,197;217,196,189;217,197,189;189,196,197
217,225,218;217,225,197;217,218,197;197,225,218
217,225,197;217,225,196;217,197,196;196,225,197
217,224,225;217,224,196;217,225,196;196,224,225
217,218,190;217,218,197;217,190,197;197,218,190
217,197,190;217,197,189;217,190,189;189,197,190
217,188,196;217,188,189;217,196,189;189,188,196
217,223,188;217,223,216;217,188,216;216,223,188
217,195,223;217,195,196;217,223,196;196,195,223
217,223,195;217,223,188;217,195,188;188,223,195
217,188,195;217,188,196;217,195,196;196,188,195
217,223,224;217,223,196;217,224,196;196,223,224
217,188,181;217,188,216;217,181,216;216,188,181
217,181,188;217,181,189;217,188,189;189,181,188
217,181,209;217,181,216;217,209,216;216,181,209
217,182,181;217,182,189;217,181,189;189,182,181
217,182,209;217,182,181;217,209,181;181,182,209
217,182,210;217,182,209;217,210,209;209,182,210
217,225,224;217,225,252;217,224,252;252,225,224
217,253,246;217,253,225;217,246,225;225,253,246
217,225,246;217,225,218;217,246,218;218,225,246
217,245,246;217,245,252;217,246,252;252,245,246
217,253,225;217,253,252;217,225,252;252,253,225
217,246,253;217,246,252;217,253,252;252,246,253
217,223,251;217,223,252;217,251,252;252,223,251
217,251,223;217,251,216;217,223,216;216,251,223
217,224,223;217,224,252;217,223,252;252,224,223
217,251,245;217,251,252;217,245,252;252,251,245
217,244,251;217,244,216;217,251,216;216,244,251
217,251,244;217,251,245;217,244,245;245,251,244
211,212,184;211,212,218;211,184,218;218,212,184
211,184,212;211,184,177;211,212,177;177,184,212
211,184,190;211,184,218;211,190,218;218,184,190
211,183,184;211,183,177;211,184,177;177,183,184
211,212,205;211,212,177;211,205,177;177,212,205
211,190,184;211,190,183;211,184,183;183,190,184
211,183,182;211,183,189;211,182,189;189,183,182
211,182,210;211,182,189;211,210,189;189,182,210
211,218,190;211,218,189;211,190,189;189,218,190
211,190,183;211,190,189;211,183,189;189,190,183
211,217,218;211,217,189;211,218,189;189,217,218
211,210,217;211,210,189;211,217,189;189,210,217
20,27,251;20,27,255;20,251,255;255,27,251
20,251,244;20,251,255;20,244,255;255,251,244
20,251,27;20,251,252;20,27,252;252,251,27
20,245,251;20,245,252;20,251,252;252,245,251
20,27,28;20,27,252;20,28,252;252,27,28
20,28,245;20,28,252;20,245,252;252,28,245
20,28,21;20,28,245;20,21,245;245,28,21
20,244,251;20,244,245;20,251,245;245,244,251
233,17,16;233,17,9;233,16,9;9,17,16
233,16,17;233,16,241;233,17,241;241,16,17
233,240,16;233,240,241;233,16,241;241,240,16
233,17,234;233,17,241;233,234,241;241,17,234
233,17,10;233,17,234;233,10,234;234,17,10
233,10,17;233,10,9;233,17,9;9,10,17
233,246,212;233,246,218;233,212,218;218,246,212
233,212,205;233,212,218;233,205,218;218,212,205
233,246,218;233,246,239;233,218,239;239,246,218
233,246,240;233,246,212;233,240,212;212,246,240
233,205,211;233,205,218;233,211,218;218,205,211
233,218,211;233,218,239;233,211,239;239,218,211
114,121,149;114,121,122;114,149,122;122,121,149
114,143,150;114,143,142;114,150,142;142,143,150
114,150,115;114,150,122;114,115,122;122,150,115
114,142,150;114,142,149;114,150,149;149,142,150
114,149,150;114,149,122;114,150,122;122,149,150
114,150,143;114,150,115;114,143,115;115,150,143
114,115,143;114,115,1;114,143,1;1,115,143
114,143,142;114,143,1;114,142,1;1,143,142
179,159,152;179,159,151;179,152,151;151,159,152
179,159,158;179,159,186;179,158,186;186,159,158
179,158,159;179,158,151;179,159,151;151,158,159
179,187,180;179,187,159;179,180,159;159,187,180
179,180,152;179,180,159;179,152,159;159,180,152
179,187,159;179,187,186;179,159,186;186,187,159
174,203,202;174,203,1;174,202,1;1,203,202
174,175,203;174,175,1;174,203,1;1,175,203
174,209,182;174,209,181;174,182,181;181,209,182
174,209,202;174,209,203;174,202,203;203,209,202
174,182,210;174,182,203;174,210,203;203,182,210
174,210,182;174,210,209;174,182,209;209,210,182
174,210,209;174,210,203;174,209,203;203,210,209
174,175,182;174,175,203;174,182,203;203,175,182
230,202,203;230,202,1;230,203,1;1,202,203
230,203,231;230,203,1;230,231,1;1,203,231
238,245,246;238,245,218;238,246,218;218,245,246
238,218,246;238,218,239;238,246,239;239,218,246
238,211,210;238,211,218;238,210,218;218,211,210
238,210,217;238,210,218;238,217,218;218,210,217
238,217,245;238,217,218;238,245,218;218,217,245
238,211,218;238,211,239;238,218,239;239,211,218
227,3,4;227,3,11;227,4,11;11,3,4
227,4,228;227,4,11;227,228,11;11,4,228
227,235,234;227,235,11;227,234,11;11,235,234
227,228,235;227,228,11;227,235,11;11,228,235
227,10,3;227,10,11;227,3,11;11,10,3
227,234,10;227,234,11;227,10,11;11,234,10
227,2,3;227,2,9;227,3,9;9,2,3
227,226,2;227,226,9;227,2,9;9,226,2
227,3,10;227,3,9;227,10,9;9,3,10
227,10,234;227,10,9;227,234,9;9,10,234
227,234,233;227,234,9;227,233,9;9,234,233
227,233,226;227,233,9;227,226,9;9,233,226
227,4,3;227,4,1;227,3,1;1,4,3
227,228,4;227,228,1;227,4,1;1,228,4
227,3,2;227,3,1;227,2,1;1,3,2
227,2,226;227,2,1;227,226,1;1,2,226
8,226,2;8,226,1;8,2,1;1,226,2
8,232,226;8,232,1;8,226,1;1,232,226
71,78,50;71,78,49;71,50,49;49,78,50
71,70,77;71,70,49;71,77,49;49,70,77
71,77,78;71,77,49;71,78,49;49,77,78
71,50,43;71,50,49;71,43,49;49,50,43
71,43,42;71,43,49;71,42,49;49,43,42
71,42,70;71,42,49;71,70,49;49,42,70
71,105,106;71,105,78;71,106,78;78,105,106
71,98,77;71,98,70;71,77,70;70,98,77
71,105,77;71,105,98;71,77,98;98,105,77
71,105,98;71,105,99;71,98,99;99,105,98
71,77,105;71,77,78;71,105,78;78,77,105
71,106,105;71,106,99;71,105,99;99,106,105
71,100,99;71,100,93;71,99,93;93,100,99
71,100,72;71,100,78;71,72,78;78,100,72
71,72,100;71,72,93;71,100,93;93,72,100
71,65,72;71,65,93;71,72,93;93,65,72
71,100,106;71,100,99;71,106,99;99,100,106
71,106,100;71,106,78;71,100,78;78,106,100
37,10,3;37,10,9;37,3,9;9,10,3
37,3,2;37,3,9;37,2,9;9,3,2
37,3,31;37,3,30;37,31,30;30,3,31
37,3,30;37,3,2;37,30,2;2,3,30
37,31,3;37,31,38;37,3,38;38,31,3
37,3,10;37,3,38;37,10,38;38,3,10
37,50,78;37,50,44;37,78,44;44,50,78
37,50,43;37,50,78;37,43,78;78,50,43
37,78,72;37,78,44;37,72,44;44,78,72
37,65,72;37,65,78;37,72,78;78,65,72
37,43,71;37,43,78;37,71,78;78,43,71
37,71,65;37,71,78;37,65,78;78,71,65
37,72,45;37,72,44;37,45,44;44,72,45
37,45,66;37,45,38;37,66,38;38,45,66
37,73,72;37,73,66;37,72,66;66,73,72
37,45,73;37,45,66;37,73,66;66,45,73
37,72,73;37,72,45;37,73,45;45,72,73
37,72,65;37,72,66;37,65,66;66,72,65
37,45,16;37,45,44;37,16,44;44,45,16
37,17,10;37,17,9;37,10,9;9,17,10
37,16,17;37,16,9;37,17,9;9,16,17
37,17,16;37,17,45;37,16,45;45,17,16
37,17,45;37,17,38;37,45,38;38,17,45
37,10,17;37,10,38;37,17,38;38,10,17
94,123,116;94,123,95;94,116,95;95,123,116
94,116,88;94,116,95;94,88,95;95,116,88
94,116,115;94,116,87;94,115,87;87,116,115
94,115,116;94,115,122;94,116,122;122,115,116
94,116,123;94,116,122;94,123,122;122,116,123
94,88,116;94,88,87;94,116,87;87,88,116
84,78,85;84,78,113;84,85,113;113,78,85
84,105,77;84,105,78;84,77,78;78,105,77
84,105,106;84,105,113;84,106,113;113,105,106
84,106,78;84,106,113;84,78,113;113,106,78
84,106,105;84,106,78;84,105,78;78,106,105
84,112,105;84,112,113;84,105,113;113,112,105
84,77,105;84,77,76;84,105,76;76,77,105
84,104,105;84,104,111;84,105,111;111,104,105
84,105,104;84,105,76;84,104,76;76,105,104
84,104,111;84,104,76;84,111,76;76,104,111
84,111,83;84,111,76;84,83,76;76,111,83
84,105,112;84,105,111;84,112,111;111,105,112
84,78,57;84,78,85;84,57,85;85,78,57
84,56,57;84,56,49;84,57,49;49,56,57
84,57,50;84,57,49;84,50,49;49,57,50
84,78,50;84,78,57;84,50,57;57,78,50
84,50,78;84,50,49;84,78,49;49,50,78
84,78,77;84,78,49;84,77,49;49,78,77
200,228,227;200,228,1;200,227,1;1,228,227
200,227,199;200,227,1;200,199,1;1,227,199
220,212,247;220,212,219;220,247,219;219,212,247
220,241,248;220,241,247;220,248,247;247,241,248
220,240,241;220,240,247;220,241,247;247,240,241
220,212,240;220,212,247;220,240,247;247,212,240
220,241,240;220,241,212;220,240,212;212,241,240
220,213,241;220,213,212;220,241,212;212,213,241
220,212,184;220,212,185;220,184,185;185,212,184
220,191,212;220,191,219;220,212,219;219,191,212
220,185,184;220,185,191;220,184,191;191,185,184
220,184,212;220,184,191;220,212,191;191,184,212
220,192,185;220,192,191;220,185,191;191,192,185
220,213,212;220,213,185;220,212,185;185,213,212
214,221,194;214,221,193;214,194,193;193,221,194
214,194,222;214,194,215;214,222,215;215,194,222
214,187,194;214,187,215;214,194,215;215,187,194
214,193,194;214,193,186;214,194,186;186,193,194
214,222,194;214,222,221;214,194,221;221,222,194
214,194,187;214,194,186;214,187,186;186,194,187
214,185,193;214,185,186;214,193,186;186,185,193
214,185,192;214,185,193;214,192,193;193,185,192
214,213,220;214,213,192;214,220,192;192,213,220
214,192,221;214,192,193;214,221,193;193,192,221
214,213,192;214,213,185;214,192,185;185,213,192
214,192,220;214,192,221;214,220,221;221,192,220
48,216,188;48,216,255;48,188,255;255,216,188
48,188,160;48,188,255;48,160,255;255,188,160
48,160,132;48,160,255;48,132,255;255,160,132
48,132,104;48,132,255;48,104,255;255,132,104
48,104,76;48,104,255;48,76,255;255,104,76
48,244,216;48,244,255;48,216,255;255,244,216
48,20,244;48,20,255;48,244,255;255,20,244
48,83,55;48,83,255;48,55,255;255,83,55
48,76,83;48,76,255;48,83,255;255,76,83
48,55,27;48,55,255;48,27,255;255,55,27
48,27,20;48,27,255;48,20,255;255,27,20
48,56,77;48,56,49;48,77,49;49,56,77
48,84,77;48,84,56;48,77,56;56,84,77
48,77,83;48,77,76;48,83,76;76,77,83
48,55,83;48,55,56;48,83,56;56,55,83
48,83,84;48,83,56;48,84,56;56,83,84
48,84,83;48,84,77;48,83,77;77,84,83
48,28,27;48,28,56;48,27,56;56,28,27
48,28,56;48,28,49;48,56,49;49,28,56
48,27,55;48,27,56;48,55,56;56,27,55
48,21,28;48,21,49;48,28,49;49,21,28
48,28,21;48,28,27;48,21,27;27,28,21
48,21,20;48,21,27;48,20,27;27,21,20
48,77,70;48,77,49;48,70,49;49,77,70
48,77,76;48,77,70;48,76,70;70,77,76
48,41,42;48,41,70;48,42,70;70,41,42
48,76,69;48,76,70;48,69,70;70,76,69
48,69,41;48,69,70;48,41,70;70,69,41
48,70,42;48,70,49;48,42,49;49,70,42
91,98,99;91,98,70;91,99,70;70,98,99
91,92,64;91,92,99;91,64,99;99,92,64
91,64,63;91,64,70;91,63,70;70,64,63
91,64,71;91,64,99;91,71,99;99,64,71
91,99,71;91,99,70;91,71,70;70,99,71
91,71,64;91,71,70;91,64,70;70,71,64
91,64,92;91,64,1;91,92,1;1,64,92
91,63,64;91,63,1;91,64,1;1,63,64
62,97,98;62,97,70;62,98,70;70,97,98
62,98,97;62,98,90;62,97,90;90,98,97
62,69,97;62,69,70;62,97,70;70,69,97
62,98,63;62,98,70;62,63,70;70,98,63
62,91,63;62,91,98;62,63,98;98,91,63
62,91,98;62,91,90;62,98,90;90,91,98
62,63,91;62,63,1;62,91,1;1,63,91
62,91,90;62,91,1;62,90,1;1,91,90
86,87,115;86,87,1;86,115,1;1,87,115
86,115,114;86,115,1;86,114,1;1,115,114
86,92,64;86,92,1;86,64,1;1,92,64
86,64,58;86,64,1;86,58,1;1,64,58
86,115,87;86,115,122;86,87,122;122,115,87
86,121,114;86,121,115;86,114,115;115,121,114
86,121,122;86,121,93;86,122,93;93,121,122
86,121,115;86,121,122;86,115,122;122,121,115
86,87,94;86,87,122;86,94,122;122,87,94
86,122,94;86,122,93;86,94,93;93,122,94
86,64,92;86,64,99;86,92,99;99,64,92
86,71,64;86,71,99;86,64,99;99,71,64
86,64,65;86,64,58;86,65,58;58,64,65
86,65,99;86,65,93;86,99,93;93,65,99
86,65,71;86,65,99;86,71,99;99,65,71
86,71,65;86,71,64;86,65,64;64,71,65
118,34,62;118,34,1;118,62,1;1,34,62
118,6,34;118,6,1;118,34,1;1,6,34
118,146,174;118,146,1;118,174,1;1,146,174
118,174,202;118,174,1;118,202,1;1,174,202
118,230,6;118,230,1;118,6,1;1,230,6
118,202,230;118,202,1;118,230,1;1,202,230
118,62,90;118,62,1;118,90,1;1,62,90
118,90,91;118,90,1;118,91,1;1,90,91
118,91,119;118,91,1;118,119,1;1,91,119
118,97,126;118,97,98;118,126,98;98,97,126
118,97,98;118,97,90;118,98,90;90,97,98
118,125,126;118,125,97;118,126,97;97,125,126
118,119,91;118,119,98;118,91,98;98,119,91
118,126,119;118,126,98;118,119,98;98,126,119
